Feb-27, 2015 5:32:40 PM,,,,,,,,,,
Results for 10 rounds,,,,,,,,,,,
Rank,Robot Name,    Total Score    ,Survival,Surv Bonus,Bullet Dmg,Bullet Bonus,Ram Dmg * 2,Ram Bonus, 1sts , 2nds , 3rds 
1st,shailajasunkara.ShailPower 1.0*,4624 (16%),2750,160,1587,100,26,0,2,1,2
2nd,kylebennett.TheGruffalo 1.0*,3681 (13%),2550,80,999,29,23,0,1,2,2
3rd,waleeddeeba.LordSugar*,3389 (12%),2350,80,801,62,96,0,1,2,1
4th,sunilsuskandla.TheLegend*,3356 (12%),2100,80,896,67,214,0,1,2,1
5th,glennBoylan.MetalMickyGB*,3203 (11%),1550,0,1463,160,20,10,0,0,1
6th,shamikhashah.CottonCandy 1.0*,3141 (11%),2800,240,59,3,38,0,3,1,3
7th,kylebennett.HugBot*,3112 (11%),1150,80,1409,103,274,95,1,1,0
8th,habibmotara.GuessMyName 1.0*,2150 (8%),1100,0,926,65,59,0,0,1,0
9th,anushapingili.RoboAnu*,1986 (7%),1650,80,200,1,49,6,1,0,0
$,,,,,,,,,,,
